open_time,open,high,low,close,volume
2026-01-23 10:15:00,89049.84,89132.58,89000.46,89103.0,59.89308
2026-01-23 10:30:00,89102.99,89133.38,88977.31,89127.97,90.52575
2026-01-23 10:45:00,89127.96,89160.74,89020.1,89046.49,104.26685
2026-01-23 11:00:00,89046.49,89244.86,89000.0,89222.89,172.87999
2026-01-23 11:15:00,89222.88,89275.96,89204.84,89219.99,129.41518
2026-01-23 11:30:00,89219.99,89355.51,89219.99,89249.2,117.67911
2026-01-23 11:45:00,89249.2,89274.69,89164.97,89202.48,61.6861
2026-01-23 12:00:00,89202.47,89248.6,89160.01,89160.01,50.93924
2026-01-23 12:15:00,89160.01,89182.98,89125.18,89163.52,48.04799
2026-01-23 12:30:00,89163.51,89241.27,89099.2,89241.26,45.33963
2026-01-23 12:45:00,89241.27,89383.09,89241.26,89267.83,75.39228
2026-01-23 13:00:00,89267.83,89419.88,89237.65,89407.15,105.10216
2026-01-23 13:15:00,89407.15,89426.92,89256.59,89257.43,95.78898
2026-01-23 13:30:00,89257.43,89355.21,89247.44,89355.2,45.77988
2026-01-23 13:45:00,89355.21,89450.18,89310.32,89350.81,51.09208
2026-01-23 14:00:00,89350.8,89472.55,89254.23,89459.29,86.17337
2026-01-23 14:15:00,89459.29,89702.85,89430.21,89685.93,241.30274
2026-01-23 14:30:00,89685.92,89733.71,88663.65,88965.48,633.74605
2026-01-23 14:45:00,88965.49,89133.38,88684.08,89017.85,279.5446
2026-01-23 15:00:00,89017.85,89189.9,88763.76,88821.92,224.68151
2026-01-23 15:15:00,88821.91,89279.02,88578.36,88979.61,296.11633
2026-01-23 15:30:00,88979.61,89284.47,88933.79,89259.98,182.27379
2026-01-23 15:45:00,89259.97,89865.53,89259.95,89761.61,375.61262
2026-01-23 16:00:00,89761.61,89969.16,89637.89,89752.27,322.66382
2026-01-23 16:15:00,89752.27,89762.18,89518.0,89575.45,168.34599
2026-01-23 16:30:00,89575.46,90422.0,89489.0,90269.66,422.75513
2026-01-23 16:45:00,90269.65,90490.06,90122.76,90124.85,352.96012
2026-01-23 17:00:00,90124.86,90200.0,89978.4,90199.99,154.2487
2026-01-23 17:15:00,90199.99,90981.99,90199.99,90981.99,402.41101
2026-01-23 17:30:00,90981.98,91224.99,90769.23,90831.33,466.33567
2026-01-23 17:45:00,90831.33,91054.5,90565.6,90600.0,323.60294
2026-01-23 18:00:00,90600.0,91039.75,90449.42,90743.61,272.70373
2026-01-23 18:15:00,90743.62,90958.42,90640.36,90871.84,125.87485
2026-01-23 18:30:00,90871.83,91025.0,90718.89,90738.0,179.20217
2026-01-23 18:45:00,90737.99,90738.0,90505.86,90530.45,120.67341
2026-01-23 19:00:00,90530.44,90534.59,90224.94,90278.0,242.87822
2026-01-23 19:15:00,90278.0,90286.01,89756.41,89845.83,520.97386
2026-01-23 19:30:00,89845.82,89886.45,89612.01,89879.79,243.46245
2026-01-23 19:45:00,89879.8,90020.0,89728.92,89982.79,111.68398
2026-01-23 20:00:00,89982.79,90156.06,89856.8,90119.01,147.41591
2026-01-23 20:15:00,90119.02,90135.2,89812.7,89814.37,102.44544
2026-01-23 20:30:00,89814.38,89814.38,89263.64,89422.27,335.17421
2026-01-23 20:45:00,89422.26,89569.58,89200.68,89503.68,332.6916
2026-01-23 21:00:00,89503.67,89691.18,89437.77,89605.43,142.61398
2026-01-23 21:15:00,89605.43,89680.0,89477.84,89600.26,46.30724
2026-01-23 21:30:00,89600.25,89617.94,89402.25,89438.01,39.26106
2026-01-23 21:45:00,89438.02,89476.0,89317.0,89349.99,80.25482
2026-01-23 22:00:00,89349.99,89752.45,89335.35,89622.5,153.10284
2026-01-23 22:15:00,89622.5,89743.07,89591.1,89712.22,70.7294
2026-01-23 22:30:00,89712.23,89737.11,89587.03,89587.03,120.1853
2026-01-23 22:45:00,89587.03,89647.58,89554.83,89624.61,62.17768
2026-01-23 23:00:00,89624.6,89624.6,89520.88,89576.22,39.03443
2026-01-23 23:15:00,89576.22,89594.0,89505.29,89562.0,36.22456
2026-01-23 23:30:00,89562.0,89578.36,89517.09,89517.1,30.76386
2026-01-23 23:45:00,89517.09,89631.0,89472.13,89600.26,45.85122
2026-01-24 00:00:00,89600.26,89625.41,89509.5,89509.51,21.9074
2026-01-24 00:15:00,89509.5,89570.91,89457.87,89457.87,24.51084
2026-01-24 00:30:00,89457.87,89547.08,89452.78,89481.82,52.89132
2026-01-24 00:45:00,89481.82,89484.35,89424.39,89452.83,31.4778
2026-01-24 01:00:00,89452.83,89516.69,89450.58,89515.93,30.45153
2026-01-24 01:15:00,89515.93,89588.72,89498.26,89574.23,32.04997
2026-01-24 01:30:00,89574.22,89574.22,89469.11,89540.39,29.65752
2026-01-24 01:45:00,89540.4,89550.25,89514.63,89550.24,26.68513
2026-01-24 02:00:00,89550.24,89664.01,89550.24,89621.67,39.62519
2026-01-24 02:15:00,89621.66,89675.0,89601.31,89617.41,25.14697
2026-01-24 02:30:00,89617.41,89686.57,89607.18,89686.57,28.2289
